Date,TEMP
1616664527,30
1624452043,30
1624452049,28
1624452055,30
1624452061,30
1624452067,28
1624452073,22
1624452082,16
1624452088,16
1624452094,16
1624452100,16
1624452106,16
1624452112,16
1624452118,16
1624452124,16
1624452130,16
1624452136,16
1624452142,16
1624452148,16
1624452154,16
1624452160,16
1624452166,16
1624452172,16
1624452178,16
1624452184,16
1624452190,16
1624452196,16
1624452202,16
1624452208,16
1624452214,16
1624452220,16
1624452226,16
1624452232,16
1624452238,16
1624452244,16
1624452250,16
1624452256,16
1624452262,16
1624452268,16
1624452274,16
1624452280,16
1624452286,16
1624452292,16
1624452298,16
1624452304,16
1624452310,16
1624452316,16
1624452322,16
1624452328,16
1624452334,16
1624452340,16
1624452346,16
1624452352,16
1624452358,16
1624452364,16
1624452370,16
1624452376,16
1624452382,16
1624452388,16
1624452394,16
1624452400,16
1624452406,16
1624452412,16
1624452418,16
1624452424,16
1624452430,16
1624452436,16
1624452442,16
1624452448,16
1624452454,16
1624452460,16
1624452466,16
1624452472,16
1624452478,16
1624452484,16
1624452490,16
1624452496,16
1624452502,16
1624452508,16
1624452514,16
1624452520,16
1624452526,16
1624452532,16
1624452538,16
1624452544,16
1624452550,16
1624452556,16
1624452562,16
1624452568,16
1624452574,16
1624452580,16
1624452586,16
1624452592,16
1624452598,16
1624452604,16
1624452610,16
1624452616,16
1624452622,16
1624452628,16
1624452634,16
1624452640,16
1624452646,16
1624452652,16
1624452658,16
1624452664,16
1624452670,16
1624452676,16
1624452682,16
1624452688,16
1624452694,16
1624452700,16
1624452706,16
1624452712,16
1624452718,16
1624452724,16
1624452730,16
1624452736,16
1624452742,16
1624452748,16
1624452754,16
1624452760,16
1624452766,16
1624452772,16
1624452778,16
1624452784,16
1624452790,16
1624452796,16
1624452802,16
1624452808,16
1624452814,16
1624452820,16
1624452826,16
1624452832,16
1624452838,16
1624452844,16
1624452852,30
1624452858,30
1624452864,30
1624452870,30
1624452876,30
1624452882,30
1624452888,30
1624452894,30
1624452900,30
1624452906,30
1624452912,30
1624452918,30
1624452924,30
1624452930,30
1624452936,30
1624452942,30
1624452948,30
1624452954,30
1624452960,30
1624452961,30
1624452966,30
1624452972,30
1624452978,30
1624452984,30
1624452990,30
1624452996,30
1624453002,30
1624453008,30
1624453014,30
1624453020,30
1624453026,30
1624453032,30
1624453038,30
1624453044,30
1624453050,30
1624453056,30
1624453062,30
1624453068,30
1624453074,30
1624453080,30
1624453086,30
1624453092,30
1624453098,30
1624453104,30
1624453110,30
1624453116,30
1624453122,30
1624453128,30
1624453131,30
1624453134,30
1624453140,30
1624453146,30
1624453152,30
1624453158,30
1624453164,30
1624453170,30
1624453176,30
1624453182,30
1624453188,30
1624453194,30
1624453200,30
1624453206,30
1624453212,30
1624453218,30
1624453224,30
1624453230,30
1624453236,30
1624453242,30
1624453248,30
1624453254,30
1624453260,30
1624453266,30
1624453272,30
1624453278,30
1624453284,30
1624453290,30
1624453296,30
1624453302,30
1624453308,30
1624453314,30
1624453320,30
1624453326,30
1624453332,30
1624453338,30
1624453344,30
1624453350,30
1624453356,30
1624453362,30
1624453368,30
1624453374,30
1624453380,30
1624453386,30
1624453392,30
1624453398,30
1624453404,30
1624453410,30
1624453416,30
1624453422,30
1624453428,30
1624453434,30
1624453440,30
1624453446,30
1624453452,30
1624453458,30
1624453464,30
1624453470,30
1624453476,30
1624453482,30
1624453488,30
1624453494,30
1624453500,30
1624453506,30
1624453512,30
1624453518,30
1624453524,30
1624453530,30
1624453536,30
1624453542,30
1624453548,30
1624453554,30
1624453560,30
1624453566,30
1624453572,30
1624453578,30
1624453584,30
1624453590,30
1624453596,30
1624453602,30
1624453608,30
1624453614,30
1624453620,30
1624453626,30
1624453632,30
1624453638,30
1624453644,30
1624453650,30
1624453656,30
1624453662,30
1624453668,30
1624453674,30
1624453680,30
1624453686,30
1624453692,30
1624453698,30
1624453704,30
1624453710,30
1624453716,30
1624453722,30
1624453728,30
1624453734,30
1624453740,30
1624453746,30
1624453752,30
1624453758,30
1624453764,30
1624453770,30
1624453776,30
1624453782,30
1624453788,30
1624453794,30
1624453800,30
1624453806,30
1624453812,30
1624453818,30
1624453824,30
1624453830,30
1624453836,30
1624453842,30
1624453848,30
1624453854,30
1624453860,30
1624453866,30
1624453872,30
1624453878,30
1624453884,30
1624453890,30
1624453896,30
1624453902,30
1624453908,30
1624453914,30
1624453920,30
1624453926,30
1624453932,30
1624453938,30
1624453944,30
1624453950,30
1624453956,30
1624453962,30
1624453968,30
1624453974,30
1624453980,30
1624453986,30
1624453992,30
1624453998,30
1624454004,30
1624454010,30
1624454016,30
1624454022,30
1624454028,30
1624454034,30
1624454040,30
1624454046,30
1624454052,30
1624454058,30
1624454064,30
1624454070,30
1624454076,30
1624454082,30
1624454088,30
1624454094,30
1624454100,30
1624454106,30
1624454112,30
1624454118,30
1624454124,30
1624454130,30
1624454136,30
1624454142,30
1624454148,30
1624454154,30
1624454160,30
1624454166,30
1624454172,30
1624454178,30
1624454184,30
1624454190,30
1624454196,30
1624454202,30
1624454208,30
1624454214,30
1624454220,30
1624454226,30
1624454232,30
1624454238,30
1624454244,30
1624454250,30
1624454256,30
1624454262,30
1624454268,30
1624454274,30
1624454280,30
1624454286,30
1624454292,30
1624454298,30
1624454304,30
1624454310,30
1624454316,30
1624454322,30
1624454328,30
1624454334,30
1624454340,30
1624454346,30
1624454352,30
1624454358,30
1624454364,30
1624454370,30
1624454376,30
1624454382,30
1624454388,30
1624454394,30
1624454400,30
1624454406,30
1624454412,30
1624454418,30
1624454424,30
1624454430,30
1624454436,30
1624454442,30
1624454448,30
1624454454,30
1624454460,30
1624454466,30
1624454472,30
1624454478,30
1624454484,30
1624454490,30
1624454496,30
1624454502,30
1624454508,30
1624454514,30
1624454520,30
1624454526,30
1624454532,30
1624454538,30
1624454544,30
1624454550,30
1624454556,30
1624454562,30
1624454568,30
1624454574,30
1624454580,30
1624454586,30
1624454592,30
1624454598,30
1624454604,30
1624454610,30
1624454616,30
1624454622,30
1624454628,30
1624454634,30
1624454640,30
1624454646,30
1624454652,30
1624454658,30
1624454664,30
1624454670,30
1624454676,30
1624454682,30
1624454688,30
1624454694,30
1624454700,30
1624454706,30
1624454712,30
1624454718,30
1624454724,30
1624454730,30
1624454736,30
1624454742,30
1624454748,30
1624454754,30
1624454760,30
1624454766,30
1624454772,30
1624454778,30
1624454784,30
1624454791,30
1624454797,30
1624454803,30
1624454809,30
1624454815,30
1624454821,30
1624454827,30
1624454833,30
1624454839,30
1624454845,30
1624454851,30
1624454857,30
1624454863,30
1624454869,30
1624454875,30
1624454881,30
1624454887,30
1624454893,30
1624454899,30
1624454905,30
1624454911,30
1624454917,30
1624454923,30
1624454929,30
1624454935,30
1624454941,30
1624454947,30
1624454953,30
1624454959,30
1624454965,30
1624454971,30
1624454977,30
1624454983,30
1624454989,30
1624454995,30
1624455001,30
1624455007,30
1624455013,30
1624455019,30
1624455025,30
1624455031,30
1624455037,30
1624455043,30
1624455049,30
1624455055,30
1624455061,30
1624455067,30
1624455073,30
1624455079,30
1624455085,30
1624455091,30
1624455097,30
1624455103,30
1624455109,30
1624455115,30
1624455121,30
1624455127,30
1624455133,30
1624455139,30
1624455145,30
1624455151,30
1624455157,30
1624455163,30
1624455169,30
1624455175,30
1624455181,30
1624455187,30
1624455193,30
1624455199,30
1624455205,30
